Time(s) 	 Filtered Altitude MSL(m) 	 Filtered Altitude AGL(m) 	 Filtered Velocity(m/s) 	 Filtered Acceleration(m/s/s) 	 Altitude MSL(m)  	 Altitude AGL(m) 	 Velocity(m/s) 	 Acceleration (m/s/s) 	 Chute Arm 	 Chute Release15.36	7.94	-150.83	0.52	0.03	158.76	-0.01	10.34	0.67	0	0
30.45	158.76	-0.01	0.37	-0.01	159.35	0.57	-0.39	-7.89	0	0
30.64	158.82	0.05	0.33	-0.22	159.41	0.63	0.32	3.82	0	0
30.83	158.88	0.10	0.29	-0.23	159.32	0.55	-0.44	-4.05	0	0
31.01	158.93	0.15	0.26	-0.13	159.40	0.63	0.43	4.72	0	0
31.19	158.99	0.21	0.33	0.38	159.65	0.87	1.34	5.05	0	0
31.38	159.04	0.26	0.28	-0.27	159.37	0.59	-1.49	-15.25	0	0
31.57	159.08	0.31	0.24	-0.22	159.60	0.83	1.24	14.69	0	0
31.75	159.13	0.36	0.25	0.06	159.50	0.72	-0.55	-9.64	0	0
31.94	159.19	0.41	0.32	0.36	159.94	1.16	2.38	15.75	0	0
32.12	159.24	0.47	0.29	-0.15	159.48	0.71	-2.55	-27.36	0	0
32.30	159.28	0.50	0.20	-0.47	159.75	0.98	1.48	21.67	0	0
32.49	159.31	0.54	0.20	-0.04	159.54	0.77	-1.14	-13.88	0	0
32.68	159.32	0.55	0.05	-0.77	159.28	0.51	-1.37	-1.21	0	0
32.87	159.34	0.56	0.06	0.06	159.60	0.83	1.70	16.50	0	0
33.05	159.35	0.57	0.05	-0.05	159.27	0.50	-1.78	-18.73	0	0
33.24	159.35	0.58	0.03	-0.12	159.54	0.77	1.45	17.38	0	0
33.42	159.37	0.60	0.09	0.33	159.51	0.74	-0.15	-8.60	0	0
33.61	159.38	0.61	0.07	-0.13	159.49	0.71	-0.15	-0.01	0	0
33.80	159.38	0.61	0.00	-0.36	159.29	0.52	-1.05	-4.83	0	0
33.98	159.37	0.60	-0.07	-0.42	159.20	0.42	-0.51	2.91	0	0
34.17	159.37	0.59	-0.02	0.31	159.48	0.71	1.50	10.61	0	0
34.36	159.36	0.59	-0.01	0.01	159.20	0.43	-1.49	-16.01	0	0
34.54	159.35	0.58	-0.08	-0.36	159.22	0.45	0.12	8.69	0	0
34.73	159.34	0.57	-0.05	0.16	159.28	0.50	0.27	0.78	0	0
34.92	159.33	0.56	-0.03	0.09	159.27	0.50	-0.02	-1.57	0	0
35.10	159.34	0.56	0.02	0.30	159.47	0.69	1.05	5.78	0	0
35.29	159.34	0.57	0.05	0.15	159.38	0.61	-0.44	-8.02	0	0
35.48	159.34	0.57	-0.01	-0.33	159.26	0.48	-0.69	-1.34	0	0
35.67	159.35	0.58	0.05	0.34	159.63	0.85	1.95	13.91	0	0
35.85	159.37	0.60	0.09	0.22	159.42	0.65	-1.09	-16.33	0	0
36.04	159.38	0.61	0.07	-0.11	159.58	0.81	0.85	10.42	0	0
36.23	159.39	0.62	0.04	-0.16	159.34	0.57	-1.31	-11.62	0	0
36.41	159.38	0.61	-0.06	-0.53	159.23	0.46	-0.57	3.97	0	0
36.60	159.36	0.59	-0.09	-0.16	159.20	0.43	-0.16	2.22	0	0
36.78	159.33	0.56	-0.16	-0.42	158.91	0.14	-1.57	-7.60	0	0
36.97	159.30	0.53	-0.16	-0.00	159.14	0.37	1.23	15.04	0	0
37.16	159.29	0.52	-0.05	0.64	159.30	0.52	0.83	-2.12	0	0
37.34	159.30	0.52	0.01	0.31	159.34	0.57	0.25	-3.06	0	0
37.53	159.31	0.53	0.05	0.17	159.42	0.65	0.41	0.85	0	0
37.72	159.30	0.53	-0.02	-0.36	159.11	0.34	-1.67	-11.21	0	0
37.90	159.30	0.52	-0.03	-0.05	159.38	0.61	1.44	16.73	0	0
38.09	159.30	0.53	0.01	0.21	159.25	0.47	-0.70	-11.52	0	0
38.27	159.30	0.53	0.01	-0.01	159.38	0.60	0.69	7.49	0	0
38.45	159.30	0.53	0.00	-0.03	159.23	0.46	-0.80	-8.27	0	0
38.63	159.31	0.54	0.08	0.42	159.65	0.88	2.32	17.35	0	0
38.82	159.34	0.56	0.12	0.25	159.44	0.67	-1.12	-18.54	0	0
39.01	159.36	0.59	0.12	-0.01	159.70	0.93	1.36	13.16	0	0
39.20	159.38	0.61	0.11	-0.09	159.42	0.65	-1.51	-15.42	0	0
39.38	159.39	0.61	0.03	-0.43	159.44	0.67	0.12	8.74	0	0
39.57	159.40	0.63	0.07	0.23	159.59	0.82	0.80	3.67	0	0
39.76	159.41	0.63	0.05	-0.12	159.39	0.61	-1.07	-9.79	0	0
39.94	159.40	0.63	-0.01	-0.33	159.38	0.60	-0.06	5.41	0	0
40.12	159.38	0.61	-0.13	-0.66	158.96	0.18	-2.32	-12.57	0	0
40.31	159.35	0.57	-0.19	-0.29	159.11	0.34	0.82	16.93	0	0
40.50	159.30	0.53	-0.24	-0.28	158.69	-0.08	-2.23	-16.43	0	0
40.68	159.24	0.47	-0.30	-0.35	158.76	-0.01	0.36	13.82	0	0
40.87	159.19	0.42	-0.27	0.19	158.72	-0.05	-0.22	-3.12	0	0
41.06	159.14	0.37	-0.31	-0.19	158.54	-0.24	-1.01	-4.28	0	0
41.24	159.09	0.32	-0.24	0.32	158.83	0.06	1.57	13.84	0	0
41.43	159.05	0.27	-0.24	0.02	158.46	-0.31	-1.96	-18.97	0	0
41.61	159.01	0.24	-0.20	0.21	158.88	0.11	2.25	22.64	0	0
41.80	158.99	0.22	-0.12	0.46	158.71	-0.07	-0.94	-17.17	0	0
