Cd,T1_Re3.000_M0.00_N9.0, , Cd,T1_Re3.000_M0.00_N9.0, , Cd,T1_Re3.000_M0.00_N9.0, , 
  0.009970636,     0.8508625, ,   0.007931195,     0.7068074, ,   0.007011524,     0.6591497, , 
   0.01016792,     0.8760666, ,   0.008256532,     0.7322626, ,   0.007460786,     0.6841151, , 
   0.01037352,     0.9009388, ,   0.008555223,     0.7579657, ,   0.007884247,     0.7090235, , 
   0.01057503,     0.9253818, ,   0.008852164,     0.7834959, ,    0.00825631,     0.7344453, , 
   0.01078373,     0.9491541, ,   0.009126939,     0.8089378, ,   0.008561497,     0.7602691, , 
   0.01100084,      0.972229, ,   0.009352607,     0.8349161, ,   0.008854758,     0.7862406, , 
   0.01126932,     0.9939391, ,   0.009574069,     0.8609512, ,   0.009133928,     0.8120912, , 
   0.01151928,      1.015625, ,   0.009756261,     0.8872881, ,   0.009388545,     0.8382328, , 
   0.01178241,      1.036426, ,   0.009967533,     0.9129329, ,    0.00961048,     0.8644707, , 
    0.0120546,      1.056067, ,    0.01020196,     0.9382526, ,    0.01004322,     0.9168824, , 
   0.01231793,      1.074162, ,    0.01039922,     0.9640259, ,     0.0102406,     0.9431828, , 
   0.01257716,      1.089742, ,    0.01057223,      0.989829, ,    0.01046291,     0.9689494, , 
   0.01278239,      1.090471, ,     0.0107746,       1.01494, ,    0.01067807,     0.9947473, , 
   0.01309157,      1.098713, ,    0.01104302,       1.03902, ,    0.01089258,      1.020347, , 
   0.01347322,      1.105267, ,    0.01133292,       1.06264, ,    0.01115317,      1.045203, , 
   0.01388324,      1.111852, ,     0.0115363,      1.086976, ,    0.01137008,      1.070501, , 
   0.01429516,       1.12095, ,     0.0118009,      1.110193, ,     0.0116424,       1.09476, , 
   0.01482237,      1.125473, ,    0.01213291,      1.132138, ,     0.0118997,      1.119133, , 
   0.01536467,      1.133093, ,    0.01251925,      1.152358, ,    0.01217099,      1.142946, , 
   0.01586233,      1.140531, ,    0.01310172,      1.194875, ,    0.01251077,      1.165527, , 
   0.01703846,      1.145568, ,     0.0133912,      1.214979, ,    0.01277742,      1.188908, , 
   0.01759169,      1.158185, ,    0.01369641,      1.233616, ,    0.01306471,      1.211488, , 
   0.01840251,      1.163895, ,    0.01399867,      1.247608, ,    0.01338667,      1.233159, , 
   0.01927024,      1.169778, ,    0.01432818,      1.259917, ,    0.01415734,      1.272634, , 
   0.02009159,      1.178218, ,    0.01470996,      1.272097, ,    0.01447351,      1.291681, , 
    0.0209556,       1.18637, ,    0.01510706,      1.283663, ,    0.01479878,      1.306857, , 
   0.02215531,      1.187638, ,    0.01551252,      1.293631, ,    0.01516666,        1.3206, , 
   0.02317287,      1.194188, ,    0.01589827,      1.307791, ,    0.01596248,      1.343717, , 
   0.02418593,       1.20144, ,    0.01706612,      1.331627, ,    0.01702447,      1.373221, , 
   0.02532435,      1.206783, ,    0.01771016,      1.344566, ,    0.01770779,      1.386356, , 
   0.02681354,      1.206833, ,    0.01842959,      1.356455, ,    0.01848734,       1.39846, , 
   0.02799743,      1.212609, ,    0.01916831,      1.368949, ,    0.01939842,      1.409083, , 
   0.02921061,       1.21852, ,     0.0199886,      1.380285, ,    0.02039907,      1.419017, , 
   0.03078559,      1.219808, ,    0.02082807,      1.391969, ,     0.0212233,      1.432282, , 
   0.03252279,      1.220266, ,    0.02176135,      1.402592, ,    0.02210918,      1.445058, , 
   0.03401734,      1.224854, ,     0.0227286,      1.413402, ,    0.02306009,      1.457311, , 
   0.03557531,      1.229058, ,    0.02380454,      1.423001, ,    0.02406678,      1.469159, , 
   0.03765332,      1.227814, ,    0.02493817,      1.432227, ,    0.02513241,      1.480651, , 
    0.0397958,      1.226653, ,    0.02622219,      1.439834, ,    0.02626415,      1.491577, , 
   0.04165094,      1.229381, ,     0.0276856,      1.445739, ,    0.02747676,      1.501896, , 
   0.04361044,      1.231617, ,    0.02945602,      1.448402, ,    0.02877672,      1.511506, , 
   0.04634119,      1.226349, ,    0.03236933,      1.437642, ,    0.03015299,      1.520535, , 
   0.04892647,      1.223517, ,    0.03408179,      1.442917, ,    0.03160964,      1.529068, , 
   0.05124279,      1.223731, ,    0.03557024,      1.451524, ,    0.03314752,      1.536988, , 
   0.05380637,       1.22249, ,    0.03724061,      1.458664, ,     0.0347756,      1.544299, , 
   0.05767084,      1.211306, ,     0.0389522,      1.465879, ,    0.03650956,      1.551003, , 
   0.06084024,      1.207281, ,    0.04074659,      1.472694, ,    0.03836568,      1.556908, , 
   0.06407477,      1.203248, ,     0.0427292,      1.478043, ,    0.04036355,      1.561997, , 
   0.06784743,      1.195903, ,     0.0446585,      1.484283, ,    0.04252739,      1.566091, , 
   0.07289254,      1.181233, ,    0.04697202,      1.487713, ,    0.04488917,      1.568793, , 
   0.07706645,      1.173155, ,     0.0491061,      1.493173, ,    0.04750685,      1.569871, , 
   0.08200403,      1.161207, ,    0.05175349,      1.494913, ,    0.05044249,      1.568901, , 
   0.08821011,      1.143303, ,    0.05414917,      1.499083, ,     0.0537482,      1.565455, , 
    0.0941186,        1.1286, ,     0.0571295,      1.499177, ,    0.05754426,       1.55899, , 
