     Alpha       T1_Re3.000_M0.00_N9.0         Alpha       T1_Re3.000_M0.00_N9.0         Alpha       T1_Re3.000_M0.00_N9.0    
           17          1.223517          15.75          1.442917          15.75          1.529068  
        17.25          1.223731             16          1.451524             16          1.536988  
         17.5           1.22249          16.25          1.458664          16.25          1.544299  
        17.75          1.211306           16.5          1.465879           16.5          1.551003  
           18          1.207281          16.75          1.472694          16.75          1.556908  
        18.25          1.203248             17          1.478043             17          1.561997  
         18.5          1.195903          17.25          1.484283          17.25          1.566091  
        18.75          1.181233           17.5          1.487713           17.5          1.568793  
           19          1.173155          17.75          1.493173          17.75          1.569871  
        19.25          1.161207             18          1.494913             18          1.568901  
         19.5          1.143303          18.25          1.499083          18.25          1.565455  
        19.75            1.1286           18.5          1.499177           18.5           1.55899  
           20          1.108725          18.75          1.501794          18.75          1.556488  
        20.25           1.09028             19          1.499965             19          1.558633  
         20.5          1.070839          19.25          1.501051          19.25          1.560038  
        20.75          1.049305           19.5          1.497377           19.5          1.560369  
           21          1.030718          19.75          1.496854          19.75          1.559268  
        21.25          1.007552             20          1.491104             20          1.556599  
         21.5          0.988496          20.25          1.486586          20.25          1.552494  
        21.75         0.9620539           20.5          1.480734           20.5          1.547011  
           22         0.9434221          20.75          1.471529          20.75          1.540451  
        22.25         0.9121189             21          1.462433             21          1.532774  
         22.5         0.8078347          21.25          1.453615          21.25          1.522726  
        22.75         0.8147286           21.5          1.440781           21.5          1.511753  
           23         0.8214672          21.75          1.426349          21.75          1.499549  
        23.25         0.8280702             22          1.410292             22          1.485191  
         23.5          0.834527          22.25          1.392875          22.25          1.469583  
        23.75         0.8408231           22.5          1.373872           22.5          1.452787  
           24         0.8468627          22.75          1.353137          22.75          1.434537  
        24.25         0.8295794             23          1.330507             23          1.415164  
         24.5          0.834084          23.25           1.30576          23.25          1.395186  
        24.75         0.8386713           23.5          1.278992           23.5          1.375243  
           25         0.8433818          23.75          1.249732          23.75          1.355459  
                                         24.25          1.178347             24          1.334825  
                                          24.5         0.9826905          24.25          1.318131  
                                         24.75         0.9886044           24.5          1.301714  
                                            25         0.9948579          24.75          1.285478  
                                                                             25          1.271827  

