Scan #,Time,Uniaxial Gage C2A-13-250LW-120 on S1-Ch1 microstrain,Uniaxial Gage C2A-13-250LW-120 on S1-Ch2 microstrain
847,0.00:00:08.47,31.00,-8.00
848,0.00:00:08.48,31.00,-8.00
849,0.00:00:08.49,31.00,-8.00
850,0.00:00:08.50,31.00,-8.00
851,0.00:00:08.51,31.00,-8.00
852,0.00:00:08.52,31.00,-8.00
853,0.00:00:08.53,32.00,-8.00
854,0.00:00:08.54,31.00,-8.00
855,0.00:00:08.55,31.00,-8.00
856,0.00:00:08.56,31.00,-8.00
857,0.00:00:08.57,31.00,-8.00
858,0.00:00:08.58,31.00,-7.00
859,0.00:00:08.59,31.00,-8.00
860,0.00:00:08.60,31.00,-8.00
861,0.00:00:08.61,31.00,-8.00
862,0.00:00:08.62,31.00,-7.00
863,0.00:00:08.63,31.00,-7.00
864,0.00:00:08.64,32.00,-7.00
865,0.00:00:08.65,31.00,-7.00
866,0.00:00:08.66,31.00,-8.00
867,0.00:00:08.67,32.00,-8.00
868,0.00:00:08.68,31.00,-8.00
869,0.00:00:08.69,31.00,-8.00
870,0.00:00:08.70,31.00,-7.00
871,0.00:00:08.71,32.00,-7.00
872,0.00:00:08.72,32.00,-8.00
873,0.00:00:08.73,32.00,-8.00
874,0.00:00:08.74,32.00,-8.00
875,0.00:00:08.75,31.00,-8.00
876,0.00:00:08.76,31.00,-8.00
877,0.00:00:08.77,31.00,-8.00
878,0.00:00:08.78,31.00,-8.00
879,0.00:00:08.79,31.00,-7.00
880,0.00:00:08.80,31.00,-8.00
881,0.00:00:08.81,31.00,-8.00
882,0.00:00:08.82,31.00,-8.00
883,0.00:00:08.83,32.00,-7.00
884,0.00:00:08.84,31.00,-7.00
885,0.00:00:08.85,31.00,-7.00
886,0.00:00:08.86,32.00,-8.00
887,0.00:00:08.87,31.00,-8.00
888,0.00:00:08.88,31.00,-8.00
889,0.00:00:08.89,31.00,-8.00
890,0.00:00:08.90,32.00,-8.00
891,0.00:00:08.91,32.00,-7.00
892,0.00:00:08.92,32.00,-8.00
893,0.00:00:08.93,32.00,-7.00
894,0.00:00:08.94,32.00,-8.00
895,0.00:00:08.95,33.00,-8.00
896,0.00:00:08.96,32.00,-8.00
897,0.00:00:08.97,33.00,-8.00
898,0.00:00:08.98,33.00,-8.00
899,0.00:00:08.99,33.00,-8.00
900,0.00:00:09.00,33.00,-8.00
901,0.00:00:09.01,33.00,-8.00
902,0.00:00:09.02,33.00,-8.00
903,0.00:00:09.03,33.00,-8.00
904,0.00:00:09.04,34.00,-8.00
905,0.00:00:09.05,34.00,-8.00
906,0.00:00:09.06,34.00,-8.00
907,0.00:00:09.07,34.00,-8.00
908,0.00:00:09.08,34.00,-8.00
909,0.00:00:09.09,34.00,-8.00
910,0.00:00:09.10,34.00,-8.00
911,0.00:00:09.11,34.00,-8.00
912,0.00:00:09.12,33.00,-8.00
913,0.00:00:09.13,34.00,-8.00
914,0.00:00:09.14,33.00,-8.00
915,0.00:00:09.15,34.00,-8.00
916,0.00:00:09.16,33.00,-8.00
917,0.00:00:09.17,34.00,-8.00
918,0.00:00:09.18,33.00,-8.00
919,0.00:00:09.19,34.00,-8.00
920,0.00:00:09.20,34.00,-8.00
921,0.00:00:09.21,34.00,-8.00
922,0.00:00:09.22,34.00,-8.00
923,0.00:00:09.23,34.00,-8.00
924,0.00:00:09.24,34.00,-8.00
925,0.00:00:09.25,34.00,-8.00
926,0.00:00:09.26,33.00,-8.00
927,0.00:00:09.27,33.00,-8.00
928,0.00:00:09.28,34.00,-8.00
929,0.00:00:09.29,33.00,-8.00
930,0.00:00:09.30,33.00,-8.00
931,0.00:00:09.31,33.00,-8.00
932,0.00:00:09.32,33.00,-8.00
933,0.00:00:09.33,33.00,-8.00
934,0.00:00:09.34,34.00,-8.00
935,0.00:00:09.35,33.00,-8.00
936,0.00:00:09.36,33.00,-8.00
937,0.00:00:09.37,33.00,-8.00
938,0.00:00:09.38,33.00,-8.00
939,0.00:00:09.39,33.00,-8.00
940,0.00:00:09.40,33.00,-8.00
941,0.00:00:09.41,33.00,-8.00
942,0.00:00:09.42,33.00,-8.00
943,0.00:00:09.43,33.00,-8.00
944,0.00:00:09.44,33.00,-8.00
945,0.00:00:09.45,33.00,-8.00
946,0.00:00:09.46,33.00,-8.00
947,0.00:00:09.47,33.00,-8.00
948,0.00:00:09.48,33.00,-8.00
949,0.00:00:09.49,33.00,-8.00
950,0.00:00:09.50,33.00,-8.00
951,0.00:00:09.51,33.00,-8.00
952,0.00:00:09.52,33.00,-8.00
953,0.00:00:09.53,33.00,-8.00
954,0.00:00:09.54,33.00,-8.00
955,0.00:00:09.55,33.00,-8.00
956,0.00:00:09.56,33.00,-8.00
957,0.00:00:09.57,33.00,-8.00
958,0.00:00:09.58,33.00,-8.00
959,0.00:00:09.59,33.00,-8.00
960,0.00:00:09.60,33.00,-8.00
961,0.00:00:09.61,33.00,-8.00
962,0.00:00:09.62,33.00,-8.00
963,0.00:00:09.63,33.00,-8.00
964,0.00:00:09.64,33.00,-8.00
965,0.00:00:09.65,33.00,-8.00
966,0.00:00:09.66,33.00,-8.00
967,0.00:00:09.67,33.00,-8.00
968,0.00:00:09.68,33.00,-8.00
969,0.00:00:09.69,33.00,-8.00
970,0.00:00:09.70,33.00,-8.00
971,0.00:00:09.71,33.00,-8.00
972,0.00:00:09.72,33.00,-8.00
973,0.00:00:09.73,34.00,-8.00
974,0.00:00:09.74,33.00,-8.00
975,0.00:00:09.75,34.00,-8.00
976,0.00:00:09.76,34.00,-8.00
977,0.00:00:09.77,33.00,-8.00
978,0.00:00:09.78,33.00,-8.00
979,0.00:00:09.79,33.00,-8.00
980,0.00:00:09.80,34.00,-8.00
981,0.00:00:09.81,33.00,-8.00
982,0.00:00:09.82,33.00,-8.00
983,0.00:00:09.83,33.00,-8.00
984,0.00:00:09.84,33.00,-8.00
985,0.00:00:09.85,33.00,-8.00
986,0.00:00:09.86,33.00,-8.00
987,0.00:00:09.87,33.00,-7.00
988,0.00:00:09.88,33.00,-8.00
989,0.00:00:09.89,33.00,-8.00
990,0.00:00:09.90,33.00,-8.00
991,0.00:00:09.91,33.00,-7.00
992,0.00:00:09.92,33.00,-8.00
993,0.00:00:09.93,33.00,-8.00
994,0.00:00:09.94,33.00,-8.00
